ResourceID,geom,SITEID,SITENAME
6c882683-3eba-4000-aa2b-ad294de2d637,POINT (-87.210409820999985 30.409472576000041),ES00044,"DORR, CLARA BARKLEY HOUSE"
c3bea5fc-6e62-4a30-a903-5a7257c92cfe,POINT (-87.210462440999947 30.40917746100007),ES00049A,OLD CHRIST CHURCH
997bf1f8-dac3-4c0b-a963-d438de2788f6,POINT (-87.308209829999953 30.346202592000054),ES00104,LIGHTHOUSE & KEEPER'S QUARTERS
1f1a38e1-3155-4442-b005-4db51d8e3439,POINT (-87.21438156499994 30.409435211000073),ES00105,AMERICAN NATIONAL BANK BUILDING
a5598ff6-ea82-49bf-99d6-7a66a4f3b164,POINT (-87.208736656999974 30.410438811000063),ES00108,CREOLE BENVOLENT ASSOCIATION HALL
a185cb2a-7101-4173-885a-80b6d2cee521,POINT (-87.206602038999961 30.409408705000033),ES00117A,517 ZARRAGOSSA STREET
be1a97ad-12c3-4add-adf6-d191288beb58,POINT (-87.210929142999987 30.408921647000057),ES00121,JULEE COTTAGE
1a539bde-4f8f-4a47-9318-a9c9ca8d8c60,POINT (-87.214063903999943 30.41069120700007),ES00123,SAENGER THEATER
4ee51c92-bee8-437e-9b94-9aad384e2f3a,POINT (-87.207249063999939 30.408994818000053),ES00128,"BARKLEY, GEORGE W HOUSE"
e3770c04-4775-4065-a49a-43f5ed81a977,POINT (-87.215342334999946 30.414630331000069),ES00129,US COURTHOUSE (OLD POST OFFICE)
66f96730-540f-41a5-b6fa-b8fc9fb4d27f,POINT (-87.214877070999989 30.411542418000067),ES00133,THIESEN BUILDING
590c1287-f4b9-4aa5-981e-d503ce630c8e,POINT (-87.214904360999981 30.409954279000033),ES00518,CITIZENS AND PEOPLES NATIONAL BANK
a3428d64-fae8-42c2-9824-ab6b6c3d7258,POINT (-87.214705566999953 30.410533932000078),ES00532,JOHNSON BUILDING
0d03eeb4-1daa-4dad-9e8a-67239ce6e945,POINT (-87.209426261999965 30.411030696000068),ES00965,QUINA HOUSE
c257c8e8-0170-4f8b-9945-e48307de03c6,POINT (-87.209491009999965 30.411499480000032),ES00967,120 SOUTH ALCANIZ STREET
f92ff302-df3e-406d-bb42-06cf5bdad0ee,POINT (-87.209447396999963 30.41115910700006),ES00968,200 SOUTH ALCANIZ STREET
06c32ac8-ec9a-41cc-8349-e596555eda89,POINT (-87.209363792999966 30.410784604000071),ES00969,210 SOUTH ALCANIZ STREET
27d20bae-d2f7-48b4-9414-5deb13b3eb44,POINT (-87.20921402099998 30.410043982000047),ES00970,SMITH HOUSE
